created_at,uuid,tags,name,name_de,name_en,description,kb_module_name,classification_choice_descriptors
2026-09-04 06:36:56.530193+00:00,b6ae461e-a9c1-43b8-8531-1ba1d158e9b7,,star_upper_gi_erefs_edema_none,unknown,unknown,No edema observed,star_upper_gi,
2026-09-04 06:36:56.530250+00:00,e81f555a-0bcb-40d3-a39f-231c86c0a9dd,,star_upper_gi_erefs_edema_present,unknown,unknown,Edema present,star_upper_gi,
2026-09-04 06:36:56.530273+00:00,9ae94771-19e9-4ea6-9222-629271a948c0,,star_upper_gi_erefs_rings_none,unknown,unknown,No rings observed,star_upper_gi,
2026-09-04 06:36:56.530291+00:00,0572059c-dc7a-40a1-9054-c14cb8484083,,star_upper_gi_erefs_rings_mild,unknown,unknown,Mild rings observed (subtle circumferential ridges),star_upper_gi,
2026-09-04 06:36:56.530310+00:00,5f2fb364-9a92-4243-a426-f5811aeeea09,,star_upper_gi_erefs_rings_moderate,unknown,unknown,Moderate rings observed (distinct rings that do not impair passage of a standard adult endoscope [outer diameter 8–9.5 mm],star_upper_gi,
2026-09-04 06:36:56.530336+00:00,2189a1b7-68ef-4a69-9e17-9906e313b3ed,,star_upper_gi_erefs_rings_severe,unknown,unknown,Severe rings observed,star_upper_gi,
2026-09-04 06:36:56.530354+00:00,eab5ac1e-b220-4571-a9ff-c0e1c44de37d,,star_upper_gi_erefs_strictures_none,unknown,unknown,No strictures observed,star_upper_gi,
2026-09-04 06:36:56.530372+00:00,547c609c-2562-4eb4-9bf2-fcb3be748d5f,,star_upper_gi_erefs_strictures_present,unknown,unknown,Strictures present,star_upper_gi,
2026-09-04 06:36:56.530389+00:00,59603eba-9e2e-4c02-b973-e7505841460b,,star_upper_gi_erefs_furrows_none,unknown,unknown,No furrows observed,star_upper_gi,
2026-09-04 06:36:56.530406+00:00,9f56e61b-a54e-4a65-be3f-92f70fcbb346,,star_upper_gi_erefs_furrows_present,unknown,unknown,Furrows present,star_upper_gi,
2026-09-04 06:36:56.530423+00:00,94557486-c3aa-49d7-b76c-8b97a9964cfc,,star_upper_gi_erefs_exudates_none,unknown,unknown,No exudates observed,star_upper_gi,
2026-09-04 06:36:56.530440+00:00,2978c8ff-4d90-413f-9d3e-6cee7904175d,,star_upper_gi_erefs_exudates_mild,unknown,unknown,Mild exudates observed (few white spots or plaques),star_upper_gi,
2026-09-04 06:36:56.530458+00:00,b4ced684-f323-421c-a4e4-2237fea16a0b,,star_upper_gi_erefs_exudates_severe,unknown,unknown,Severe exudates observed (confluent plaques covering large areas of the esophageal mucosa),star_upper_gi,
